,Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,FIPS,Admin2
54255,, Azerbaijan,1.0,0.0,0.0,,,,,
73,,Afghanistan,1.0,0.0,0.0,,,,,
13109,,Afghanistan,1.0,0.0,0.0,,33.0,65.0,,
56409,,Afghanistan,4.0,0.0,0.0,,33.0,65.0,,
12518,,Afghanistan,5.0,0.0,0.0,,33.0,65.0,,
12728,,Afghanistan,7.0,0.0,0.0,,33.0,65.0,,
54561,,Afghanistan,11.0,0.0,0.0,,33.9391,67.71,,
54806,,Afghanistan,16.0,0.0,0.0,,33.9391,67.71,,
26904,,Afghanistan,21.0,0.0,1.0,,33.9391,67.71,,
26643,,Afghanistan,22.0,0.0,1.0,,33.9391,67.71,,
55503,,Afghanistan,24.0,0.0,1.0,,33.9391,67.71,,
17459,,Afghanistan,40.0,1.0,1.0,38.0,33.93911,67.709953,,
3609,,Afghanistan,74.0,1.0,1.0,72.0,33.93911,67.709953,,
7025,,Afghanistan,84.0,2.0,2.0,80.0,33.93911,67.709953,,
51197,,Afghanistan,94.0,4.0,2.0,88.0,33.93911,67.709953,,
47775,,Afghanistan,110.0,4.0,2.0,104.0,33.93911,67.709953,,
33968,,Afghanistan,110.0,4.0,2.0,104.0,33.93911,67.709953,,
30538,,Afghanistan,120.0,4.0,2.0,114.0,33.93911,67.709953,,
37882,,Afghanistan,170.0,4.0,2.0,164.0,33.93911,67.709953,,
40314,,Afghanistan,174.0,4.0,5.0,165.0,33.93911,67.709953,,
42799,,Afghanistan,237.0,4.0,5.0,228.0,33.93911,67.709953,,
9585,,Afghanistan,273.0,6.0,10.0,257.0,33.93911,67.709953,,
12210,,Afghanistan,281.0,6.0,10.0,265.0,33.93911,67.709953,,
26303,,Afghanistan,299.0,7.0,10.0,282.0,33.93911,67.709953,,
23622,,Afghanistan,349.0,7.0,15.0,327.0,33.93911,67.709953,,
53996,,Afghanistan,367.0,11.0,18.0,338.0,33.93911,67.709953,,
20950,,Afghanistan,40.0,1.0,1.0,38.0,33.93911,67.709953,,
56438,,Albania,2.0,0.0,0.0,,41.1533,20.1683,,
12494,,Albania,10.0,0.0,0.0,,41.1533,20.1683,,
12703,,Albania,12.0,1.0,0.0,,41.1533,20.1683,,
43012,,Albania,33.0,1.0,0.0,,41.1533,20.1683,,
43297,,Albania,23.0,1.0,0.0,,41.1533,20.1683,,
54511,,Albania,38.0,1.0,0.0,,41.1533,20.1683,,
54767,,Albania,42.0,1.0,0.0,,41.1533,20.1683,,
26870,,Albania,51.0,1.0,0.0,,41.1533,20.1683,,
26604,,Albania,55.0,1.0,0.0,,41.1533,20.1683,,
44252,,Albania,59.0,2.0,0.0,,41.1533,20.1683,,
43970,,Albania,64.0,2.0,0.0,,41.1533,20.1683,,
55464,,Albania,70.0,2.0,0.0,,41.1533,20.1683,,
55766,,Albania,76.0,2.0,2.0,,41.1533,20.1683,,
17460,,Albania,104.0,4.0,2.0,98.0,41.1533,20.1683,,
3610,,Albania,123.0,5.0,10.0,108.0,41.1533,20.1683,,
7026,,Albania,146.0,5.0,17.0,124.0,41.1533,20.1683,,
51198,,Albania,174.0,6.0,17.0,151.0,41.1533,20.1683,,
47776,,Albania,186.0,8.0,31.0,147.0,41.1533,20.1683,,
33969,,Albania,197.0,10.0,31.0,156.0,41.1533,20.1683,,
30539,,Albania,212.0,10.0,33.0,169.0,41.1533,20.1683,,
37883,,Albania,223.0,11.0,44.0,168.0,41.1533,20.1683,,
40315,,Albania,243.0,15.0,52.0,176.0,41.1533,20.1683,,
42800,,Albania,259.0,15.0,67.0,177.0,41.1533,20.1683,,
9586,,Albania,277.0,16.0,76.0,185.0,41.1533,20.1683,,
12211,,Albania,304.0,17.0,89.0,198.0,41.1533,20.1683,,
26304,,Albania,333.0,20.0,99.0,214.0,41.1533,20.1683,,
23623,,Albania,361.0,20.0,104.0,237.0,41.1533,20.1683,,
53997,,Albania,377.0,21.0,116.0,240.0,41.1533,20.1683,,
20932,,Albania,89.0,2.0,2.0,85.0,41.1533,20.1683,,
74,,Algeria,1.0,0.0,0.0,,,,,
13759,,Algeria,1.0,0.0,0.0,,28.0339,1.6596,,
56154,,Algeria,3.0,0.0,0.0,,28.0339,1.6596,,
56000,,Algeria,5.0,0.0,0.0,,28.0339,1.6596,,
34206,,Algeria,12.0,0.0,0.0,,28.0339,1.6596,,
13032,,Algeria,17.0,0.0,0.0,,28.0339,1.6596,,
56626,,Algeria,19.0,0.0,0.0,,28.0339,1.6596,,
12471,,Algeria,20.0,0.0,0.0,,28.0339,1.6596,,
43032,,Algeria,26.0,2.0,8.0,,28.0339,1.6596,,
43294,,Algeria,24.0,1.0,8.0,,28.0339,1.6596,,
54515,,Algeria,37.0,3.0,12.0,,28.0339,1.6596,,
54758,,Algeria,48.0,4.0,12.0,,28.0339,1.6596,,
26861,,Algeria,54.0,4.0,12.0,,28.0339,1.6596,,
26598,,Algeria,60.0,4.0,12.0,,28.0339,1.6596,,
44246,,Algeria,74.0,7.0,12.0,,28.0339,1.6596,,
43954,,Algeria,87.0,9.0,32.0,,28.0339,1.6596,,
55444,,Algeria,90.0,11.0,32.0,,28.0339,1.6596,,
55733,,Algeria,139.0,15.0,32.0,,28.0339,1.6596,,
17461,,Algeria,230.0,17.0,65.0,148.0,28.0339,1.6596,,
3611,,Algeria,264.0,19.0,24.0,221.0,28.0339,1.6596,,
7027,,Algeria,302.0,21.0,65.0,216.0,28.0339,1.6596,,
51199,,Algeria,367.0,25.0,29.0,313.0,28.0339,1.6596,,
47777,,Algeria,409.0,26.0,29.0,354.0,28.0339,1.6596,,
33970,,Algeria,454.0,29.0,31.0,394.0,28.0339,1.6596,,
30540,,Algeria,511.0,31.0,31.0,449.0,28.0339,1.6596,,
37884,,Algeria,584.0,35.0,37.0,512.0,28.0339,1.6596,,
40316,,Algeria,716.0,44.0,46.0,626.0,28.0339,1.6596,,
42801,,Algeria,847.0,58.0,61.0,728.0,28.0339,1.6596,,
9587,,Algeria,986.0,86.0,61.0,839.0,28.0339,1.6596,,
12212,,Algeria,1171.0,105.0,62.0,1004.0,28.0339,1.6596,,
26305,,Algeria,1251.0,130.0,90.0,1031.0,28.0339,1.6596,,
23624,,Algeria,1320.0,152.0,90.0,1078.0,28.0339,1.6596,,
53998,,Algeria,1423.0,173.0,90.0,1160.0,28.0339,1.6596,,
20909,,Algeria,201.0,17.0,65.0,119.0,28.0339,1.6596,,
12554,,Andorra,1.0,0.0,0.0,,42.5063,1.5218,,
43094,,Andorra,1.0,0.0,0.0,,42.5063,1.5218,,
43389,,Andorra,1.0,0.0,1.0,,42.5063,1.5218,,
54622,,Andorra,1.0,0.0,1.0,,42.5063,1.5218,,
26977,,Andorra,2.0,0.0,1.0,,42.5063,1.5218,,
26615,,Andorra,39.0,0.0,1.0,,42.5063,1.5218,,
43976,,Andorra,53.0,0.0,1.0,,42.5063,1.5218,,
55458,,Andorra,75.0,0.0,1.0,,42.5063,1.5218,,
55756,,Andorra,88.0,0.0,1.0,,42.5063,1.5218,,
17462,,Andorra,133.0,1.0,1.0,131.0,42.5063,1.5218,,
3612,,Andorra,164.0,1.0,1.0,162.0,42.5063,1.5218,,
7028,,Andorra,188.0,1.0,1.0,186.0,42.5063,1.5218,,
51200,,Andorra,224.0,3.0,1.0,220.0,42.5063,1.5218,,
47778,,Andorra,267.0,3.0,1.0,263.0,42.5063,1.5218,,
33971,,Andorra,308.0,3.0,1.0,304.0,42.5063,1.5218,,
30541,,Andorra,334.0,6.0,1.0,327.0,42.5063,1.5218,,
37885,,Andorra,370.0,8.0,10.0,352.0,42.5063,1.5218,,
40317,,Andorra,376.0,12.0,10.0,354.0,42.5063,1.5218,,
42802,,Andorra,390.0,14.0,10.0,366.0,42.5063,1.5218,,
9588,,Andorra,428.0,15.0,10.0,403.0,42.5063,1.5218,,
12213,,Andorra,439.0,16.0,16.0,407.0,42.5063,1.5218,,
26306,,Andorra,466.0,17.0,21.0,428.0,42.5063,1.5218,,
23625,,Andorra,501.0,18.0,26.0,457.0,42.5063,1.5218,,
53999,,Andorra,525.0,21.0,31.0,473.0,42.5063,1.5218,,
20925,,Andorra,113.0,1.0,1.0,111.0,42.5063,1.5218,,
55584,,Angola,1.0,0.0,0.0,,-11.2027,17.8739,,
55875,,Angola,2.0,0.0,0.0,,-11.2027,17.8739,,
17463,,Angola,3.0,0.0,0.0,3.0,-11.2027,17.8739,,
3613,,Angola,3.0,0.0,0.0,3.0,-11.2027,17.8739,,
7029,,Angola,3.0,0.0,0.0,3.0,-11.2027,17.8739,,
51201,,Angola,4.0,0.0,0.0,4.0,-11.2027,17.8739,,
47779,,Angola,4.0,0.0,0.0,4.0,-11.2027,17.8739,,
33972,,Angola,5.0,0.0,0.0,5.0,-11.2027,17.8739,,
30542,,Angola,7.0,2.0,0.0,5.0,-11.2027,17.8739,,
37886,,Angola,7.0,2.0,0.0,5.0,-11.2027,17.8739,,
40318,,Angola,7.0,2.0,1.0,4.0,-11.2027,17.8739,,
42803,,Angola,8.0,2.0,1.0,5.0,-11.2027,17.8739,,
9589,,Angola,8.0,2.0,1.0,5.0,-11.2027,17.8739,,
12214,,Angola,8.0,2.0,1.0,5.0,-11.2027,17.8739,,
26307,,Angola,10.0,2.0,2.0,6.0,-11.2027,17.8739,,
23626,,Angola,14.0,2.0,2.0,10.0,-11.2027,17.8739,,
54000,,Angola,16.0,2.0,2.0,12.0,-11.2027,17.8739,,
21007,,Angola,2.0,0.0,0.0,2.0,-11.2027,17.8739,,
43096,,Antigua and Barbuda,1.0,0.0,0.0,,17.0608,-61.7964,,
54623,,Antigua and Barbuda,1.0,0.0,0.0,,17.0608,-61.7964,,
26722,,Antigua and Barbuda,1.0,0.0,0.0,,17.0608,-61.7964,,
17464,,Antigua and Barbuda,3.0,0.0,0.0,3.0,17.0608,-61.7964,,
3614,,Antigua and Barbuda,3.0,0.0,0.0,3.0,17.0608,-61.7964,,
7030,,Antigua and Barbuda,3.0,0.0,0.0,3.0,17.0608,-61.7964,,
51202,,Antigua and Barbuda,7.0,0.0,0.0,7.0,17.0608,-61.7964,,
47780,,Antigua and Barbuda,7.0,0.0,0.0,7.0,17.0608,-61.7964,,
33973,,Antigua and Barbuda,7.0,0.0,0.0,7.0,17.0608,-61.7964,,
30543,,Antigua and Barbuda,7.0,0.0,0.0,7.0,17.0608,-61.7964,,
37887,,Antigua and Barbuda,7.0,0.0,0.0,7.0,17.0608,-61.7964,,
40319,,Antigua and Barbuda,7.0,0.0,0.0,7.0,17.0608,-61.7964,,
42804,,Antigua and Barbuda,7.0,0.0,0.0,7.0,17.0608,-61.7964,,
9590,,Antigua and Barbuda,9.0,0.0,0.0,9.0,17.0608,-61.7964,,
12215,,Antigua and Barbuda,15.0,0.0,0.0,15.0,17.0608,-61.7964,,
26308,,Antigua and Barbuda,15.0,0.0,0.0,15.0,17.0608,-61.7964,,
23627,,Antigua and Barbuda,15.0,0.0,0.0,15.0,17.0608,-61.7964,,
54001,,Antigua and Barbuda,15.0,0.0,0.0,15.0,17.0608,-61.7964,,
21019,,Antigua and Barbuda,1.0,0.0,0.0,1.0,17.0608,-61.7964,,
56031,,Argentina,1.0,0.0,0.0,,-38.4161,-63.6167,,
34256,,Argentina,1.0,0.0,0.0,,-38.4161,-63.6167,,
13298,,Argentina,2.0,0.0,0.0,,-38.4161,-63.6167,,
13049,,Argentina,8.0,0.0,0.0,,-38.4161,-63.6167,,
56378,,Argentina,12.0,1.0,0.0,,-38.4161,-63.6167,,
12477,,Argentina,17.0,1.0,0.0,,-38.4161,-63.6167,,
12689,,Argentina,19.0,1.0,0.0,,-38.4161,-63.6167,,
43103,,Argentina,31.0,2.0,0.0,,-38.4161,-63.6167,,
54517,,Argentina,34.0,2.0,1.0,,-38.4161,-63.6167,,
54762,,Argentina,45.0,2.0,1.0,,-38.4161,-63.6167,,
26857,,Argentina,56.0,2.0,1.0,,-38.4161,-63.6167,,
26585,,Argentina,68.0,2.0,3.0,,-38.4161,-63.6167,,
44238,,Argentina,79.0,2.0,3.0,,-38.4161,-63.6167,,
43948,,Argentina,97.0,3.0,3.0,,-38.4161,-63.6167,,
55428,,Argentina,128.0,3.0,3.0,,-38.4161,-63.6167,,
55726,,Argentina,158.0,4.0,3.0,,-38.4161,-63.6167,,
17465,,Argentina,266.0,4.0,27.0,235.0,-38.4161,-63.6167,,
3615,,Argentina,387.0,6.0,52.0,329.0,-38.4161,-63.6167,,
7031,,Argentina,387.0,8.0,52.0,327.0,-38.4161,-63.6167,,
51203,,Argentina,502.0,9.0,63.0,430.0,-38.4161,-63.6167,,
47781,,Argentina,589.0,13.0,72.0,504.0,-38.4161,-63.6167,,
33974,,Argentina,690.0,18.0,72.0,600.0,-38.4161,-63.6167,,
30544,,Argentina,745.0,19.0,72.0,654.0,-38.4161,-63.6167,,
37888,,Argentina,820.0,23.0,228.0,569.0,-38.4161,-63.6167,,
40320,,Argentina,1054.0,27.0,240.0,787.0,-38.4161,-63.6167,,
42805,,Argentina,1054.0,28.0,248.0,778.0,-38.4161,-63.6167,,
9591,,Argentina,1133.0,36.0,256.0,841.0,-38.4161,-63.6167,,
12216,,Argentina,1265.0,39.0,266.0,960.0,-38.4161,-63.6167,,
26309,,Argentina,1451.0,43.0,279.0,1129.0,-38.4161,-63.6167,,
23628,,Argentina,1451.0,44.0,280.0,1127.0,-38.4161,-63.6167,,
54002,,Argentina,1554.0,48.0,325.0,1181.0,-38.4161,-63.6167,,
20901,,Argentina,266.0,4.0,27.0,235.0,-38.4161,-63.6167,,
12555,,Armenia,1.0,0.0,0.0,,40.0691,45.0382,,
43070,,Armenia,8.0,0.0,0.0,,40.0691,45.0382,,
43365,,Armenia,4.0,0.0,0.0,,40.0691,45.0382,,
54544,,Armenia,18.0,0.0,0.0,,40.0691,45.0382,,
54790,,Armenia,26.0,0.0,0.0,,40.0691,45.0382,,
26867,,Armenia,52.0,0.0,0.0,,40.0691,45.0382,,
26573,,Armenia,78.0,0.0,1.0,,40.0691,45.0382,,
44234,,Armenia,84.0,0.0,1.0,,40.0691,45.0382,,
43940,,Armenia,115.0,0.0,1.0,,40.0691,45.0382,,
55423,,Armenia,136.0,0.0,1.0,,40.0691,45.0382,,
55725,,Armenia,160.0,0.0,1.0,,40.0691,45.0382,,
17466,,Armenia,235.0,0.0,2.0,233.0,40.0691,45.0382,,
3616,,Armenia,249.0,0.0,14.0,235.0,40.0691,45.0382,,
7032,,Armenia,265.0,0.0,16.0,249.0,40.0691,45.0382,,
51204,,Armenia,290.0,1.0,18.0,271.0,40.0691,45.0382,,
47782,,Armenia,329.0,1.0,28.0,300.0,40.0691,45.0382,,
33975,,Armenia,407.0,1.0,30.0,376.0,40.0691,45.0382,,
30545,,Armenia,424.0,3.0,30.0,391.0,40.0691,45.0382,,
37889,,Armenia,482.0,3.0,30.0,449.0,40.0691,45.0382,,
40321,,Armenia,532.0,3.0,30.0,499.0,40.0691,45.0382,,
42806,,Armenia,571.0,4.0,31.0,536.0,40.0691,45.0382,,
9592,,Armenia,663.0,7.0,33.0,623.0,40.0691,45.0382,,
12217,,Armenia,736.0,7.0,43.0,686.0,40.0691,45.0382,,
26310,,Armenia,770.0,7.0,43.0,720.0,40.0691,45.0382,,
23629,,Armenia,822.0,7.0,57.0,758.0,40.0691,45.0382,,
54003,,Armenia,833.0,8.0,62.0,763.0,40.0691,45.0382,,
20910,,Armenia,194.0,0.0,2.0,192.0,40.0691,45.0382,,
43101,,Aruba,2.0,0.0,0.0,,12.5211,-69.9683,,
26978,,Aruba,2.0,0.0,0.0,,12.5211,-69.9683,,
26701,,Aruba,3.0,0.0,0.0,,12.5211,-69.9683,,
44064,,Aruba,4.0,0.0,0.0,,12.5211,-69.9683,,
43503,,Australia,,,,,,,,
54958,,Australia,4.0,,,,,,,
27222,,Australia,4.0,,,,,,,
27275,New South Wales,Australia,4.0,,,,,,,
27276,Victoria,Australia,1.0,,,,,,,
44461,New South Wales,Australia,4.0,,,,,,,
44462,Victoria,Australia,1.0,,,,,,,
44513,New South Wales,Australia,4.0,,,,,,,
44514,Victoria,Australia,1.0,,,,,,,
14038,New South Wales,Australia,4.0,,2.0,,,,,
14039,Victoria,Australia,2.0,,,,,,,
14040,Queensland,Australia,3.0,,,,,,,
13967,New South Wales,Australia,4.0,,2.0,,,,,
13969,Victoria,Australia,3.0,,,,,,,
13974,Queensland,Australia,2.0,,,,,,,
56257,New South Wales,Australia,4.0,0.0,2.0,,,,,
56258,Victoria,Australia,4.0,0.0,0.0,,,,,
56260,Queensland,Australia,3.0,0.0,0.0,,,,,
56266,South Australia,Australia,1.0,0.0,0.0,,,,,
12856,Victoria,Australia,4.0,0.0,0.0,,,,,
13423,New South Wales,Australia,4.0,0.0,2.0,,,,,
12861,South Australia,Australia,2.0,0.0,0.0,,,,,
13836,Queensland,Australia,2.0,0.0,0.0,,,,,
13425,Queensland,Australia,3.0,0.0,0.0,,,,,
12855,New South Wales,Australia,4.0,0.0,2.0,,,,,
34517,Queensland,Australia,4.0,0.0,0.0,,,,,
13565,Queensland,Australia,5.0,0.0,0.0,,,,,
250,Queensland,Australia,5.0,0.0,0.0,,,,,
54,New South Wales,Australia,4.0,0.0,4.0,,,,,
55,Victoria,Australia,4.0,0.0,4.0,,,,,
61,South Australia,Australia,2.0,0.0,2.0,,,,,
52,Queensland,Australia,5.0,0.0,1.0,,,,,
14096,From Diamond Princess,Australia,4.0,0.0,0.0,,,,,
50,From Diamond Princess,Australia,7.0,0.0,0.0,,,,,
151,From Diamond Princess,Australia,8.0,0.0,0.0,,,,,
12580,From Diamond Princess,Australia,0.0,0.0,0.0,,35.4437,139.638,,
13725,Queensland,Australia,9.0,0.0,1.0,,-28.0167,153.4,,
13728,Victoria,Australia,7.0,0.0,4.0,,-37.8136,144.9631,,
13738,South Australia,Australia,3.0,0.0,2.0,,-34.9285,138.6007,,
54346,Queensland,Australia,9.0,0.0,1.0,,,,,
54349,Victoria,Australia,7.0,0.0,4.0,,,,,
54360,South Australia,Australia,3.0,0.0,2.0,,,,,
54367,Western Australia,Australia,2.0,0.0,0.0,,,,,
54406,From Diamond Princess,Australia,0.0,0.0,0.0,,,,,
13731,New South Wales,Australia,6.0,0.0,4.0,,-33.8688,151.2093,,
13749,Western Australia,Australia,2.0,1.0,0.0,,-31.9505,115.8605,,
13112,Tasmania,Australia,1.0,0.0,0.0,,-41.4545,145.9707,,
55991,Victoria,Australia,9.0,0.0,4.0,,-37.8136,144.9631,,
34208,Queensland,Australia,11.0,0.0,1.0,,-28.0167,153.4,,
55981,New South Wales,Australia,13.0,0.0,4.0,,-33.8688,151.2093,,
34198,New South Wales,Australia,22.0,1.0,4.0,,-33.8688,151.2093,,
34210,Victoria,Australia,10.0,0.0,4.0,,-37.8136,144.9631,,
34224,South Australia,Australia,5.0,0.0,2.0,,-34.9285,138.6007,,
34258,Northern Territory,Australia,1.0,0.0,0.0,,-12.4634,130.8456,,
13037,Queensland,Australia,13.0,0.0,8.0,,-28.0167,153.4,,
13072,Western Australia,Australia,3.0,1.0,0.0,,-31.9505,115.8605,,
13267,Victoria,Australia,10.0,0.0,7.0,,-37.8136,144.9631,,
12503,South Australia,Australia,7.0,0.0,2.0,,-34.9285,138.6007,,
13177,Northern Territory,Australia,0.0,0.0,0.0,,-12.4634,130.8456,,
13240,New South Wales,Australia,26.0,1.0,4.0,,-33.8688,151.2093,,
13017,New South Wales,Australia,28.0,1.0,4.0,,-33.8688,151.2093,,
13042,Victoria,Australia,11.0,0.0,7.0,,-37.8136,144.9631,,
12543,Tasmania,Australia,2.0,0.0,0.0,,-41.4545,145.9707,,
56371,Queensland,Australia,15.0,0.0,8.0,,-28.0167,153.4,,
56610,New South Wales,Australia,38.0,3.0,4.0,,-33.8688,151.2093,,
56340,New South Wales,Australia,48.0,3.0,4.0,,-33.8688,151.2093,,
56372,Victoria,Australia,15.0,0.0,7.0,,-37.8136,144.9631,,
56410,Western Australia,Australia,4.0,1.0,0.0,,-31.9505,115.8605,,
12449,New South Wales,Australia,55.0,2.0,4.0,,-33.8688,151.2093,,
12473,Queensland,Australia,18.0,0.0,8.0,,-28.0167,153.4,,
12474,Victoria,Australia,18.0,0.0,7.0,,-37.8136,144.9631,,
12513,Western Australia,Australia,6.0,1.0,0.0,,-31.9505,115.8605,,
12556,Northern Territory,Australia,1.0,0.0,0.0,,-12.4634,130.8456,,
12655,New South Wales,Australia,65.0,2.0,4.0,,-33.8688,151.2093,,
12682,Victoria,Australia,21.0,0.0,7.0,,-37.8136,144.9631,,
12687,Queensland,Australia,20.0,0.0,8.0,,-28.0167,153.4,,
12714,South Australia,Australia,9.0,0.0,2.0,,-34.9285,138.6007,,
12715,Western Australia,Australia,9.0,1.0,0.0,,-31.9505,115.8605,,
12751,Tasmania,Australia,3.0,0.0,0.0,,-41.4545,145.9707,,
43009,Tasmania,Australia,5.0,0.0,0.0,,-41.4545,145.9707,,
43014,New South Wales,Australia,92.0,2.0,4.0,,-33.8688,151.2093,,
43015,Victoria,Australia,36.0,0.0,8.0,,-37.8136,144.9631,,
43016,Queensland,Australia,35.0,0.0,8.0,,-28.0167,153.4,,
43017,South Australia,Australia,16.0,0.0,3.0,,-34.9285,138.6007,,
43027,Australian Capital Territory,Australia,1.0,0.0,0.0,,-35.4735,149.0124,,
43040,From Diamond Princess,Australia,0.0,0.0,0.0,,35.4437,139.638,,
43075,Western Australia,Australia,14.0,1.0,0.0,,-31.9505,115.8605,,
43113,Northern Territory,Australia,1.0,0.0,0.0,,-12.4634,130.8456,,
26723,Northern Territory,Australia,1.0,0.0,0.0,,-12.4634,130.8456,,
26751,From Diamond Princess,Australia,0.0,0.0,0.0,,35.4437,139.638,,
54471,New South Wales,Australia,112.0,2.0,4.0,,-33.8688,151.2093,,
54502,Victoria,Australia,49.0,0.0,8.0,,-37.8136,144.9631,,
54504,Queensland,Australia,46.0,0.0,8.0,,-28.0167,153.4,,
54541,South Australia,Australia,19.0,0.0,3.0,,-34.9285,138.6007,,
54549,Western Australia,Australia,17.0,1.0,0.0,,-31.9505,115.8605,,
54586,Tasmania,Australia,5.0,0.0,0.0,,-41.4545,145.9707,,
54624,Australian Capital Territory,Australia,1.0,0.0,0.0,,-35.4735,149.0124,,
54716,New South Wales,Australia,134.0,2.0,4.0,,-33.8688,151.2093,,
54747,Queensland,Australia,61.0,0.0,8.0,,-28.0167,153.4,,
54751,Victoria,Australia,57.0,0.0,8.0,,-37.8136,144.9631,,
54795,South Australia,Australia,20.0,0.0,3.0,,-34.9285,138.6007,,
54835,Tasmania,Australia,6.0,0.0,0.0,,-41.4545,145.9707,,
26629,South Australia,Australia,29.0,0.0,3.0,,-34.9285,138.6007,,
26682,Tasmania,Australia,7.0,0.0,0.0,,-41.4545,145.9707,,
26714,Australian Capital Territory,Australia,2.0,0.0,0.0,,-35.4735,149.0124,,
26812,New South Wales,Australia,171.0,2.0,4.0,,-33.8688,151.2093,,
26850,Victoria,Australia,71.0,0.0,8.0,,-37.8136,144.9631,,
26851,Queensland,Australia,68.0,0.0,8.0,,-28.0167,153.4,,
26894,Western Australia,Australia,28.0,1.0,0.0,,-31.9505,115.8605,,
26537,New South Wales,Australia,210.0,4.0,4.0,,-33.8688,151.2093,,
26570,Victoria,Australia,94.0,0.0,8.0,,-37.8136,144.9631,,
26574,Queensland,Australia,78.0,0.0,8.0,,-28.0167,153.4,,
26626,Western Australia,Australia,31.0,1.0,0.0,,-31.9505,115.8605,,
43934,Victoria,Australia,121.0,0.0,8.0,,-37.8136,144.9631,,
44176,New South Wales,Australia,267.0,5.0,4.0,,-33.8688,151.2093,,
44224,Queensland,Australia,94.0,0.0,8.0,,-28.0167,153.4,,
44274,South Australia,Australia,37.0,0.0,3.0,,-34.9285,138.6007,,
44276,Western Australia,Australia,35.0,1.0,0.0,,-31.9505,115.8605,,
44326,Tasmania,Australia,10.0,0.0,0.0,,-41.4545,145.9707,,
44353,Australian Capital Territory,Australia,3.0,0.0,0.0,,-35.4735,149.0124,,
43891,New South Wales,Australia,307.0,5.0,4.0,,-33.8688,151.2093,,
43926,Queensland,Australia,144.0,0.0,8.0,,-28.0167,153.4,,
43978,Western Australia,Australia,52.0,1.0,0.0,,-31.9505,115.8605,,
43993,South Australia,Australia,42.0,0.0,3.0,,-34.9285,138.6007,,
44044,Tasmania,Australia,10.0,0.0,3.0,,-41.4545,145.9707,,
44065,Australian Capital Territory,Australia,4.0,0.0,0.0,,-35.4735,149.0124,,
55381,New South Wales,Australia,353.0,6.0,4.0,,-33.8688,151.2093,,
55406,Queensland,Australia,184.0,0.0,8.0,,-28.0167,153.4,,
55469,Western Australia,Australia,64.0,1.0,0.0,,-31.9505,115.8605,,
55476,South Australia,Australia,50.0,0.0,3.0,,-34.9285,138.6007,,
55549,Australian Capital Territory,Australia,6.0,0.0,0.0,,-35.4735,149.0124,,
55560,Northern Territory,Australia,3.0,0.0,0.0,,-12.4634,130.8456,,
55677,New South Wales,Australia,436.0,6.0,4.0,,-33.8688,151.2093,,
55705,Victoria,Australia,229.0,0.0,8.0,,-37.8136,144.9631,,
55706,Queensland,Australia,221.0,0.0,8.0,,-28.0167,153.4,,
55755,Western Australia,Australia,90.0,1.0,0.0,,-31.9505,115.8605,,
55776,South Australia,Australia,67.0,0.0,3.0,,-34.9285,138.6007,,
55829,Tasmania,Australia,16.0,0.0,3.0,,-41.4545,145.9707,,
55845,Australian Capital Territory,Australia,9.0,0.0,0.0,,-35.4735,149.0124,,
17382,Australian Capital Territory,Australia,32.0,0.0,0.0,32.0,-35.4735,149.0124,,
17427,New South Wales,Australia,669.0,6.0,4.0,659.0,-33.8688,151.2093,,
17431,Northern Territory,Australia,5.0,0.0,0.0,5.0,-12.4634,130.8456,,
17438,Queensland,Australia,319.0,0.0,8.0,311.0,-27.4698,153.0251,,
17448,South Australia,Australia,134.0,0.0,6.0,128.0,-34.9285,138.6007,,
17450,Tasmania,Australia,28.0,0.0,3.0,25.0,-42.8821,147.3272,,
17453,Victoria,Australia,355.0,0.0,97.0,258.0,-37.8136,144.9631,,
17455,Western Australia,Australia,140.0,1.0,1.0,138.0,-31.9505,115.8605,,
3531,Australian Capital Territory,Australia,39.0,0.0,0.0,39.0,-35.4735,149.0124,,
3575,New South Wales,Australia,818.0,7.0,4.0,807.0,-33.8688,151.2093,,
3579,Northern Territory,Australia,6.0,0.0,0.0,6.0,-12.4634,130.8456,,
3586,Queensland,Australia,397.0,0.0,8.0,389.0,-27.4698,153.0251,,
3598,South Australia,Australia,170.0,0.0,6.0,164.0,-34.9285,138.6007,,
3600,Tasmania,Australia,28.0,0.0,3.0,25.0,-42.8821,147.3272,,
3603,Victoria,Australia,411.0,0.0,97.0,314.0,-37.8136,144.9631,,
3605,Western Australia,Australia,175.0,1.0,1.0,173.0,-31.9505,115.8605,,
6947,Australian Capital Territory,Australia,39.0,0.0,0.0,39.0,-35.4735,149.0124,,
6991,New South Wales,Australia,1029.0,7.0,4.0,1018.0,-33.8688,151.2093,,
6995,Northern Territory,Australia,6.0,0.0,0.0,6.0,-12.4634,130.8456,,
7002,Queensland,Australia,443.0,0.0,8.0,435.0,-27.4698,153.0251,,
7014,South Australia,Australia,170.0,0.0,6.0,164.0,-34.9285,138.6007,,
7016,Tasmania,Australia,36.0,0.0,3.0,33.0,-42.8821,147.3272,,
7019,Victoria,Australia,466.0,0.0,97.0,369.0,-37.8136,144.9631,,
7021,Western Australia,Australia,175.0,1.0,1.0,173.0,-31.9505,115.8605,,
51117,Australian Capital Territory,Australia,53.0,0.0,1.0,52.0,-35.4735,149.0124,,
51161,New South Wales,Australia,1219.0,7.0,4.0,1208.0,-33.8688,151.2093,,
